elementName," ""elementContent"""," ""typeAttributeIfPresent"""," ""occupation"""," ""office"""," ""health"""," ""event"""," ""ceremony"""," ""calendar"""," ""when""",
date," ""12 Years old"""," """""," """""," """""," """""," """""," """""," """""," ""1769""",
date," ""16th of May 1757"""," ""birth"""," """""," """""," """""," """""," """""," """""," ""1757-05-16""",
date," ""19th of Decr"""," """""," """""," """""," """""," """""," """""," """""," ""1772-12-19""",
date," ""Dec. 29 1772"""," ""death"""," """""," """""," """""," """""," """""," """""," ""1772-12-29""",
date," ""Decr 29th  1772""","""death""",""""""," """""," """""," """""," """""," """""," """""," ""1772-12-29"""
date," ""June 1769"""," """""," """""," """""," """""," """""," """""," """""," ""1769-06""",
date," ""beginning of last July"""," """""," """""," """""," """""," """""," """""," """""," """"",
name," ""Christmas Eve"""," ""holiday"""," """""," """""," """""," """""," """""," """""," """"",
name," ""Christmas Eve"""," ""holiday"""," """""," """""," """""," """""," """""," """""," """"",
name," ""Glover's Business"""," """""," ""glover"""," """""," """""," """""," """""," """""," """"",
name," ""began to be sickly"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",
name," ""he grew weaker & weaker from time to time"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",
name," ""he grew weaker so fast"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Christ"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",
persName," ""John Spicer"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Richd Fenton"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Richd Fenton"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Richd Fenton"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Brns School"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Choir House"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Choir House"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Hall"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Lane End"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Parish of Calverly"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Pudsey"""," """""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Br"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Br"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Srs"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""great Boy"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
