elementName," ""elementContent"""," ""typeAttributeIfPresent"""," ""occupation"""," ""office"""," ""health"""," ""event"""," ""ceremony"""," ""calendar"""," ""when""",
date," ""1802"""," """""," """""," """""," """""," """""," """""," """""," ""1802""",
date," ""July  11. 1743""","""birth""",""""""," """""," """""," """""," """""," """""," """""," ""1743-07-11"""
date," ""June 21"""," ""death"""," """""," """""," """""," """""," """""," """""," ""1810-06-21""",
date," ""June 21st 1810"""," ""death"""," """""," """""," """""," """""," """""," """""," ""1810-06-21""",
date," ""March 12th 1772"""," """""," """""," """""," """""," """""," """""," """""," ""1722-03-12""",
date," ""Nov 9th 1776"""," """""," """""," """""," """""," """""," """""," """""," ""1776-11-09""",
date," ""Oct 6th 1773"""," """""," """""," """""," """""," """""," """""," """""," ""1773-10-06""",
date," ""she was 15 years"""," """""," """""," """""," """""," """""," """""," """""," ""1758""",
date," ""spring 1809"""," """""," """""," """""," """""," """""," """""," """""," ""1809""",
name," ""Holy Communion"""," ""event"""," """""," """""," """""," """""," """""," """""," """"",
name," ""Rheumatism"""," ""health"""," """""," """""," """""," """""," """""," """""," """"",
name," ""bap."""," ""event"""," """""," """""," """""," """""," """""," """""," """"",
name," ""dropsy"""," ""health"""," """""," """""," """""," """""," """""," """""," """"",
name," ""infirm"""," ""health"""," """""," """""," """""," """""," """""," """""," """"",
name," ""much pain and sufferings"""," ""health"""," """""," """""," """""," """""," """""," """""," """"",
name," ""she obtained leave to live in the Sisters House at Gumersal"""," ""event"""," """""," """""," """""," """""," """""," """""," """"",
name," ""she was rec'd"""," ""event"""," """""," """""," """""," """""," """""," """""," """"",
name," ""weak"""," ""health"""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brns Congregation"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Congregation"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Presbitirian Church"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Jesus"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Martha Watson"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Ful nek"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Fulnek"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Gumersal"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Hallifax"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Pudsey"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""School Kitshen"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Sisters House"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Sisters House"""," """""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviours"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Single Sister"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""saviors"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
