"elementName", "elementContent", "typeAttributeIfPresent"
"date", "13th year", ""
"date", "22nd of the same month", ""
"date", "Easter in the year 1754", ""
"date", "Febr the 17th 1764", ""
"date", "I was then about 5 years old ", ""
"date", "January the 13th 1766", ""
"date", "June the 20th 1720", "birth"
"date", "Last Year", ""
"date", "May the 23d 1767", ""
"date", "in the Beginning of Decembr", ""
"date", "last Tuesday about 7 o'Clock in the Morning, viz Feby the 6th 1770", "death"
"name", "Apprentice", ""
"name", "Doctor", ""
"name", "Mid-shipman", ""
"name", "Servant", ""
"name", "Steward", ""
"name", "Surgeon", ""
"name", "aprenticeship", ""
"name", "sailors", ""
"orgName", "Brn", ""
"orgName", "Brn", ""
"orgName", "Brn", ""
"orgName", "Brn", ""
"orgName", "Brn", ""
"orgName", "Brn", ""
"orgName", "Choir", ""
"orgName", "Choir", ""
"orgName", "Congn", ""
"orgName", "Congn", ""
"orgName", "Congn", ""
"orgName", "Congregn", ""
"orgName", "Moravians", ""
"orgName", "Roman-Catholicks", ""
"persName", "Abraham", ""
"persName", "Brodersen", ""
"persName", "Brodersen", ""
"persName", "Brodersen", ""
"persName", "God", "deity"
"persName", "God", "deity"
"persName", "God", "deity"
"persName", "God", "deity"
"persName", "God", "deity"
"persName", "God", "deity"
"persName", "Greenland", ""
"persName", "Hornsby", ""
"persName", "Ingham", ""
"persName", "Jackson", ""
"persName", "Jesus", "deity"
"persName", "Jesus", "deity"
"persName", "Jesus", "deity"
"persName", "Jesus", "deity"
"persName", "Jesus", "deity"
"persName", "Jesus", "deity"
"persName", "Jesus", "deity"
"persName", "Jesus", "deity"
"persName", "John Darnbrook", ""
"persName", "John Holstead", ""
"persName", "La Trobe", ""
"persName", "Lorde", ""
"persName", "Martens", ""
"persName", "Satan", "deity"
"persName", "West Indies", ""
"persName", "Whitfield", ""
"persName", "Wilson", ""
"placeName", "Barber's Shop", ""
"placeName", "Bishopsgate Street", ""
"placeName", "Cheapside", ""
"placeName", "China", ""
"placeName", "Cong Shop", ""
"placeName", "East India House", ""
"placeName", "East Indies", ""
"placeName", "East Indies", ""
"placeName", "East. Indies", ""
"placeName", "England", ""
"placeName", "Fetterlane", ""
"placeName", "Fetterlane Chappel", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Greenland", ""
"placeName", "Hell", "biblical"
"placeName", "Hell", "biblical"
"placeName", "Hell", "biblical"
"placeName", "India", ""
"placeName", "India House", ""
"placeName", "London", ""
"placeName", "London", ""
"placeName", "London", ""
"placeName", "London", ""
"placeName", "Madras", ""
"placeName", "Moreley", ""
"placeName", "Moreley", ""
"placeName", "Parish of Battley", ""
"placeName", "Plymouth", ""
"placeName", "Sick Room", ""
"placeName", "Sick Room", ""
"placeName", "Spitalfields Church", ""
"placeName", "Spithead", ""
"placeName", "Sponging House", ""
"placeName", "Stratagem", ""
"placeName", "Tong", ""
"placeName", "West Indies", ""
"placeName", "Yorkshire", ""
"roleName", "Br", "honorific"
"roleName", "Br", "honorific"
"roleName", "Br", "honorific"
"roleName", "Br", "honorific"
"roleName", "Br", "honorific"
"roleName", "Br", "honorific"
"roleName", "Br", "honorific"
"roleName", "Br", "honorific"
"roleName", "Brn", "honorific"
"roleName", "Captain", ""
"roleName", "Captain", ""
"roleName", "Captain", ""
"roleName", "Captain", ""
"roleName", "Captain", ""
"roleName", "Captain", ""
"roleName", "Captain", ""
"roleName", "Lords", "honorific"
"roleName", "Saviour", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr", "honorific"
"roleName", "Savr,", "honorific"
"roleName", "Savrs", "honorific"
"roleName", "holy Ghost", "honorific"
