Subject,Type,Value,Attribute
Anna Rosina Anderson,persName,"Anna Rosina Anderson",http://moravianlives.bucknell.edu/data/personography.html#mlper000215
Anna Rosina Anderson,name,"born the 9th of Aug 1727 at Berthelsdorf",
Anna Rosina Anderson,placeName,"Berthelsdorf",#mlpla000026
Anna Rosina Anderson,placeName,"Herrnhut",#mlpla000001
Anna Rosina Anderson,persName,"Count Zinzendorf",http://moravianlives.bucknell.edu/data/personography.html#mlper000566
Anna Rosina Anderson,name,"desire",
Anna Rosina Anderson,name,"happy",
Anna Rosina Anderson,name,"happily",
Anna Rosina Anderson,persName,"Count",http://moravianlives.bucknell.edu/data/personography.html#mlper000566
Anna Rosina Anderson,placeName,"Herrnhut",#mlpla000001
Anna Rosina Anderson,placeName,"Berthelsdorf",#mlpla000026
Anna Rosina Anderson,placeName,"Lobenstein",#mlpla000053
Anna Rosina Anderson,name,"very glad",
Anna Rosina Anderson,name,"agreeable",
Anna Rosina Anderson,name,"tears",
Anna Rosina Anderson,name,"graciously",
Anna Rosina Anderson,persName,"Count",#mlper000538
Anna Rosina Anderson,placeName,"Ebbersdorf",#mlpla000036
Anna Rosina Anderson,name,"very unhap py",
Anna Rosina Anderson,name,"sent me to Marienborn to the Orphan house",
Anna Rosina Anderson,placeName,"Marienborn to the Orphan house",#mlpla000269
Anna Rosina Anderson,name,"happy",
Anna Rosina Anderson,name,"earnestly",
Anna Rosina Anderson,name,"happiness",
Anna Rosina Anderson,name,"pros per",
Anna Rosina Anderson,name,"fervent",
Anna Rosina Anderson,name,"happy",
Anna Rosina Anderson,name,"comfort",
Anna Rosina Anderson,name,"forgiveness",
Anna Rosina Anderson,name,"for my own heart",
Anna Rosina Anderson,name,"Being once quite alone in a place I fell down at his feet & implored his mercy & forgiveness for all my sins thro' his precious blood. At that time I felt something, which I cannot express",
Anna Rosina Anderson,name,"mercy",
Anna Rosina Anderson,name,"forgiveness",
Anna Rosina Anderson,name,"comfort",
Anna Rosina Anderson,name,"troub led",
Anna Rosina Anderson,name,"mercy",
Anna Rosina Anderson,name,"melted my heart",
Anna Rosina Anderson,name,"thousand tears",
Anna Rosina Anderson,name,"great bles sing",
Anna Rosina Anderson,name,"devoted my heart",
