Subject,Type,Value,Attribute
John Astley,placeName,"Mirfield",#mlpla000059
John Astley,persName,"Jno Astley",#mlper000547
John Astley,name,"Doubt",
John Astley,persName,"John Astley",#mlper000547
John Astley,name,"He was Born in Lower Wyke",
John Astley,placeName,"Lower Wyke",#mlpla000435
John Astley,name,"Married",
John Astley,persName,"Br Delamott",#mlper000640
John Astley,placeName,"Yorkshire",#mlpla000084
John Astley,persName,"Mr Ingham",#mlper000536
John Astley,name,"Hearty",
John Astley,name,"concern",
John Astley,placeName,"Yorkshire",#mlpla000084
John Astley,name,"Happily",
John Astley,name,"unmeasurable love",
John Astley,name,"Grace",
John Astley,name,"Confident",
John Astley,name,"love",
John Astley,name,"Hearty",
John Astley,name,"desire",
John Astley,name,"Holy Communion",
John Astley,name,"communion",
John Astley,name,"Grace",
John Astley,name,"Married",
John Astley,placeName,"Fulnek",#mlpla000003
John Astley,placeName,"Dukenfield",#mlpla000035
John Astley,placeName,"Hartshed",#mlpla000099
John Astley,placeName,"Mirfield",#mlpla000059
John Astley,name,"Dear",
John Astley,name,"Grace",
John Astley,name,"Grief",
John Astley,name,"deploreable",
John Astley,name,"adoreable",
John Astley,name,"concerns",
John Astley,name,"composed",
John Astley,name,"Chearful",
John Astley,name,"happily",
John Astley,name,"Easter day",
John Astley,name,"heartily",
John Astley,name,"Blessing",
John Astley,name,"most blessed feeling",
John Astley,name,"Heart quite",
John Astley,name,"Satisfy'd",
John Astley,name,"Easter Tuesday",
John Astley,name,"tenderly",
John Astley,name,"happy",
John Astley,name,"he fell Softly and Happily asleep in his 58th year",
John Astley,name,"Happily",
