Subject,Type,Value,Attribute
Joshua Barker,persName,"Joshua Barker",#mlper000555
Joshua Barker,name,"was born in the Year 1696, on the 22nd of December at Hopton in the Parish of Mirfield",
Joshua Barker,placeName,"Hopton in the Parish of Mirfield",#mlpla000339
Joshua Barker,name,"he was married to his present Widow",
Joshua Barker,name,"happily",
Joshua Barker,name,"Sacrament",
Joshua Barker,name,"Love",
Joshua Barker,name,"in his heart",
Joshua Barker,persName,"Mr Ingham",#mlper000536
Joshua Barker,name,"great attachment",
Joshua Barker,name,"Desire",
Joshua Barker,name,"Grace",
Joshua Barker,name,"receiv'd on the 22d of April 1752 into the Congn",
Joshua Barker,name,"holy Sacrament",
Joshua Barker,name,"trou- bled",
Joshua Barker,name,"belov'd",
Joshua Barker,name,"Blessing",
Joshua Barker,name,"for his own heart",
Joshua Barker,name,"pain- full",
Joshua Barker,placeName,"Huddersfield",#mlpla000043
Joshua Barker,name,"very chearfull",
Joshua Barker,name,"Pain",
Joshua Barker,name,"Sorrows",
Joshua Barker,name,"longed",
Joshua Barker,name,"bear him on their hearts",
Joshua Barker,name,"rejoic'd",
Joshua Barker,name,"in his heart",
Joshua Barker,name,"great Long- ing",
Joshua Barker,name,"thoughtfull",
Joshua Barker,name,"comforted",
Joshua Barker,name,"Sacrament",
Joshua Barker,name,"great Longing",
Joshua Barker,name,"pain",
Joshua Barker,name,"Passion",
Joshua Barker,name,"heart rely'd upon",
Joshua Barker,name,"Desire",
Joshua Barker,name,"grieved",
Joshua Barker,name,"hope",
Joshua Barker,name,"comforted",
Joshua Barker,name,"desire",
Joshua Barker,name,"holy Sacrament",
Joshua Barker,name,"Sacramt",
Joshua Barker,name,"enjoy",
Joshua Barker,name,"Agony",
Joshua Barker,name,"tormented",
Joshua Barker,name,"praising",
Joshua Barker,name,"inexpressible tender",
Joshua Barker,name,"melting feeling",
Joshua Barker,name,"holy Sacramt",
Joshua Barker,name,"chearfull",
Joshua Barker,name,"happy",
Joshua Barker,name,"highly blessed",
Joshua Barker,name,"very painfull",
Joshua Barker,name,"Longing",
Joshua Barker,name,"Desire",
Joshua Barker,name,"quiet",
Joshua Barker,name,"sweetly",
Joshua Barker,name,"Joy",
