Subject,Type,Value,Attribute
,placeName,"North of England",#mlpla000072
,persName,"Jacob Borck",#mlper000586
,name,"departed",
,placeName,"Bedford",#mlpla000025
,name,"born",
,placeName,"Arendal in Norway",#mlpla000210
,name,"great blessing",
,placeName,"Copenhagen",#mlpla000211
,placeName,"Russia",#mlpla000212
,placeName,"Ukraine",#mlpla000213
,placeName,"Russia",#mlpla000212
,name,"grace",
,name,"had been solidly awakened, & obtained a view in Spirit of our Savrs  sufferings, which remain- ed unforgetten by him.",
,name,"great uneasiness",
,placeName,"Russia",#mlpla000212
,persName,"Count Zinzendorff",#mlper000566
,name,"greatly blessed",
,name,"wish",
,placeName,"Russia",#mlpla000212
,placeName,"Zeist",#mlpla000150
,placeName,"England",#mlpla000072
,name,"meeting",
,placeName,"Zeist",#mlpla000150
,name,"overpowerd",
,name,"feeling of divine Grace",
,name,"desire",
,persName,"Count Zinzendorff",#mlper000566
,placeName,"England",#mlpla000072
,placeName,"London",#mlpla000054
,name,"glad",
,placeName,"London",#mlpla000054
,name,"desirous",
,placeName,"Bedford",#mlpla000025
,name,"he moved into the Single Brns House",
,name,"despaired",
,name,"thankful",
,name,"esteem",
,name,"received in the Congn",
,name,"admitted to the holy Comunion",
,name,"he was married to the S. Sister Hanah Scorfield",
,placeName,"Fulnec",#mlpla000003
,placeName,"Bedford",#mlpla000025
,name,"bless- ing",
,name,"respected",
,name,"warm",
,name,"positive temper",
,name,"trouble",
,name,"much esteemed",
,name,"Grace",
,name,"powerful sensa- tions",
,name,"heavy",
,name,"rich comforts",
,name,"chearful",
,name,"happy",
,name,"resigned",
,name,"fatiague",
,name,"suffered greatly",
,name,"tenderness",
,name,"sufferings",
,name,"patience",
,name,"thankful",
,name,"Love",
,name,"mercy",
,name,"disengaged",
,name,"fervently",
,name,"trouble",
,name,"dread",
,name,"with thanks",
,name,"dread",
,name,"thankful ness",
,name,"blessed",
,name,"bliss",
,name,"eparted softly & happily aged 64 years 11 days",
,name,"softly",
,name,"happily",
,name,"Blessed",
,name,"rest",
