Subject,Type,Value,Attribute
Rachel Brook,persName,"Rachel Brook",#mlper000223
Rachel Brook,placeName,"Birstol",#mlpla000030
Rachel Brook,name,"loved",
Rachel Brook,placeName,"Gumersal",#mlpla000041
Rachel Brook,name,"delighted",
Rachel Brook,name,"love",
Rachel Brook,name,"bless",
Rachel Brook,name,"tender",
Rachel Brook,name,"love",
Rachel Brook,name,"cold",
Rachel Brook,name,"wished",
Rachel Brook,name,"injoy",
Rachel Brook,name,"pleasures",
Rachel Brook,name,"trouble of mind",
Rachel Brook,name,"full of fear",
Rachel Brook,name,"most lovely attitude",
Rachel Brook,name,"sufferings",
Rachel Brook,name,"This made a deep impression on her mind, and she turned in earnest prayer to the Lord,",
Rachel Brook,name,"earnest",
Rachel Brook,name,"once when walking in a field by herself, with tears and prayer lifting up her hands to him, she got an assurance",
Rachel Brook,name,"tears",
Rachel Brook,name,"guilt",
Rachel Brook,name,"grace",
Rachel Brook,name,"desire",
Rachel Brook,name,"injoy",
Rachel Brook,name,"she moved into the Srs House here in Fulnek",
Rachel Brook,placeName,"Fulnek",#mlpla000003
Rachel Brook,name,"she was recd into the Brns Congn",
Rachel Brook,name,"partook for the first time of the H. Comn",
Rachel Brook,name,"great pleasure",
Rachel Brook,name,"happy",
Rachel Brook,name,"comfortable",
Rachel Brook,name,"delighted",
Rachel Brook,name,"praises",
Rachel Brook,name,"she was accepted acoluth",
Rachel Brook,name,"pleasant",
Rachel Brook,name,"injoying",
Rachel Brook,name,"love",
Rachel Brook,name,"love",
Rachel Brook,name,"confidence",
Rachel Brook,name,"thank",
Rachel Brook,name,"love",
Rachel Brook,name,"suffering",
Rachel Brook,name,"mercy",
Rachel Brook,name,"gratitude",
Rachel Brook,name,"amazement",
Rachel Brook,name,"concerns",
Rachel Brook,name,"trust",
Rachel Brook,name,"hope",
Rachel Brook,name,"faith",
Rachel Brook,name,"Love",
Rachel Brook,name,"injoyed",
Rachel Brook,name,"feel",
Rachel Brook,name,"infir- mities",
Rachel Brook,name,"great trial",
Rachel Brook,name,"resigned",
Rachel Brook,name,"mercy",
Rachel Brook,name,"blessings",
Rachel Brook,name,"enjoyed",
Rachel Brook,name,"celebrated",
Rachel Brook,name,"love",
Rachel Brook,name,"long",
Rachel Brook,name,"complained",
Rachel Brook,name,"pleased",
Rachel Brook,name,"gentle",
Rachel Brook,name,"happy",
Rachel Brook,name,"faith",
Rachel Brook,name,"happiness",
Rachel Brook,name,"cheerful",
Rachel Brook,name,"blessed",
Rachel Brook,name,"grace",
Rachel Brook,name,"rests",
Rachel Brook,name,"peace",
Rachel Brook,name,"beloved",
Rachel Brook,name,"afflictions",
Rachel Brook,name,"tear",
Rachel Brook,name,"longing",
Rachel Brook,name,"graciously",
