Subject,Type,Value,Attribute
Sarah Cennick,persName,"Sr Sarah Cennick",http://moravianlives.bucknell.edu/data/personography.html#mlper000227
Sarah Cennick,name,"happily",
Sarah Cennick,name,"I was born June the 12th old Style 1712 in Reading Berks",
Sarah Cennick,placeName,"Reading Berks",#mlpla000111
Sarah Cennick,name,"baptiz'd in the Church of England",
Sarah Cennick,name,"happy",
Sarah Cennick,name,"lov'd",
Sarah Cennick,name,"lov 'd",
Sarah Cennick,name,"much heaviness",
Sarah Cennick,persName,"John",http://moravianlives.bucknell.edu/data/personography.html#mlper000408
Sarah Cennick,name,"weeping",
Sarah Cennick,name,"much affected",
Sarah Cennick,name,"cried",
Sarah Cennick,name,"pierc'd me through",
Sarah Cennick,name,"heart would break",
Sarah Cennick,name,"greived",
Sarah Cennick,name,"condemn'd",
Sarah Cennick,name,"asham'd",
Sarah Cennick,name,"many Tears",
Sarah Cennick,name,"forgive",
Sarah Cennick,name,"graciously",
Sarah Cennick,name,"attachment",
Sarah Cennick,name,"liking",
Sarah Cennick,name,"Joyfull",
Sarah Cennick,name,"surprise",
Sarah Cennick,name,"bearing so strong against my hands as to get and keep my head above water. Yea those kind Assistants bore me up so long, even till I was capable of taking hold with one Hand of that Boat",
Sarah Cennick,name,"thanked",
Sarah Cennick,name,"fond",
Sarah Cennick,name,"Devotion",
Sarah Cennick,name,"enjoy'd",
Sarah Cennick,name,"frighten'd",
Sarah Cennick,name,"fearing",
Sarah Cennick,name,"shock'd",
Sarah Cennick,name,"the Lord met me, Comforted me, and gave me the Assurance in my Heart,",
Sarah Cennick,name,"Comforted",
Sarah Cennick,name,"Assurance",
Sarah Cennick,name,"in my Heart",
Sarah Cennick,name,"Comfort",
Sarah Cennick,name,"Courage",
Sarah Cennick,name,"heavily",
Sarah Cennick,name,"distress'd",
Sarah Cennick,name,"dispair",
Sarah Cennick,name,"desperate",
Sarah Cennick,name,"Evening Prayers",
Sarah Cennick,name,"desire",
Sarah Cennick,name,"so condemn'd",
