Subject,Type,Value,Attribute
Elizabeth Claggett,persName,"Elizt Claggett",#mlper000228
Elizabeth Claggett,name,"blessed",
Elizabeth Claggett,name,"grace",
Elizabeth Claggett,name,"meetings",
Elizabeth Claggett,name,"blessings",
Elizabeth Claggett,name,"enjoyed",
Elizabeth Claggett,name,"shyness",
Elizabeth Claggett,name,"humiliation",
Elizabeth Claggett,name,"so loving",
Elizabeth Claggett,name,"gratitude",
Elizabeth Claggett,name,"love",
Elizabeth Claggett,name,"thankfulness",
Elizabeth Claggett,name,"love",
Elizabeth Claggett,name,"thank",
Elizabeth Claggett,name,"love",
Elizabeth Claggett,name,"thank",
Elizabeth Claggett,name,"desired",
Elizabeth Claggett,name,"kiss",
Elizabeth Claggett,name,"great pleasure",
Elizabeth Claggett,name,"Serenity",
Elizabeth Claggett,name,"happiness",
Elizabeth Claggett,name,"of her heart",
Elizabeth Claggett,name,"great pains",
Elizabeth Claggett,name,"pleasant",
Elizabeth Claggett,name,"very disagreeable",
Elizabeth Claggett,name,"ardent",
Elizabeth Claggett,name,"wish",
Elizabeth Claggett,name,"to be dissolved and with our Savr  came happily to pass",
Elizabeth Claggett,name,"happily",
Elizabeth Claggett,name,"sensible feeling",
Elizabeth Claggett,name,"blessing",
Elizabeth Claggett,name,"born in Yorkshire",
Elizabeth Claggett,placeName,"Yorkshire",#mlpla000084
Elizabeth Claggett,name,"fetch'd me to London",
Elizabeth Claggett,placeName,"London",#mlpla000054
Elizabeth Claggett,name,"Grace",
Elizabeth Claggett,name,"so terrified",
Elizabeth Claggett,placeName,"Yorkshire",#mlpla000084
Elizabeth Claggett,name,"many Tears",
Elizabeth Claggett,name,"never satisfied",
Elizabeth Claggett,name,"Sacrament in the Church of England",
Elizabeth Claggett,name,"I returnd back to London",
Elizabeth Claggett,placeName,"London",#mlpla000054
Elizabeth Claggett,name,"strongly took hold of my Heart",
Elizabeth Claggett,name,"I had never heard of any ones being awakend nor did I know there was such a Thing; so I concluded there was not another such vile wretch existing as my self.",
Elizabeth Claggett,name,"vile wretch",
Elizabeth Claggett,name,"I often fell prostrate on the Floor & with Floods of Tears, lamented my wretched state; some-Times I had a Glimmering of hope; these words often aleviated my distress "perfect Love casts out Fear, for Fear hath Tor- ment, to which my heart answerd "Yes Lord, that Fear hath Torment I know very well, if there be a Love which casts it out, bestow it upon me.",
Elizabeth Claggett,name,"Floods of Tears",
Elizabeth Claggett,name,"lamented",
Elizabeth Claggett,name,"wretched",
Elizabeth Claggett,name,"hope",
Elizabeth Claggett,name,"distress",
Elizabeth Claggett,name,"Love",
