Subject,Type,Value,Attribute
John Darnbrook,persName,"John Darnbrook",http://moravianlives.bucknell.edu/data/personography.html#mlper000549
John Darnbrook,name,"born at Moreley in the Parish of Battley",
John Darnbrook,placeName,"Moreley in the Parish of Battley",#mlpla000180
John Darnbrook,persName,"Mr Ingham",http://moravianlives.bucknell.edu/data/personography.html#mlper000536
John Darnbrook,persName,"Mr Whitfield's",#mlper000366
John Darnbrook,name,"Sufferings",
John Darnbrook,name,"Concern",
John Darnbrook,name,"struck me",
John Darnbrook,name,"One Day, when I was at Work by myself in the Field, a sudden thought came into my Mind that I must once die & appear before God to give an Account of my Life & I thought, if I died in that Condition, I certainly must go to Hell. I immediately left of my Work & went a kneeled down under a Tree & prayed to God to forgive me. This was the first Time. I ever prayed, except such as the Lords Prayer & others learned out of Books.",
John Darnbrook,name,"forgive",
John Darnbrook,name,"despised",
John Darnbrook,name,"praised",
John Darnbrook,name,"very proud",
John Darnbrook,name,"no Peace to my Heart",
John Darnbrook,name,"displeased",
John Darnbrook,name,"miserable Course",
John Darnbrook,name,"Easter",
John Darnbrook,name,"no liking",
John Darnbrook,persName,"La Trobe",#mlper000687
John Darnbrook,name,"great Astonishment",
John Darnbrook,name,"Ser- mon",
John Darnbrook,name,"Sufferings",
John Darnbrook,name,"wrought much on my Mind",
John Darnbrook,name,"so overcome",
John Darnbrook,name,"great Love",
John Darnbrook,name,"he soon after went from Fulneck",
John Darnbrook,placeName,"Fulneck",#mlpla000003
John Darnbrook,name,"received into the Society",
John Darnbrook,name,"Preachings",
John Darnbrook,name,"so affected",
John Darnbrook,placeName,"Tong",#mlper000687
John Darnbrook,name,"wept",
John Darnbrook,name,"enjoy",
John Darnbrook,placeName,"London",#mlpla000054
John Darnbrook,placeName,"Moreley",#mlpla000180
John Darnbrook,persName,"John Holstead",#mlper000695
John Darnbrook,placeName,"West Indies",#mlpla000167
John Darnbrook,name,"like",
John Darnbrook,placeName,"Greenland",#mlpla000182
John Darnbrook,placeName,"Greenland",#mlpla000182
John Darnbrook,placeName,"West Indies",#mlpla000167
John Darnbrook,name,"Accordingly on his Recommendation the Captain took me as his Steward I went on Board, but all Things were very awkward, having never been on Board of a Ship before & I knew no more about my office than a Child, but I soon got to understand, that the chief mate was in that Office the Voyage before. So I made if my business to get acquaint- ed with him and he with a bottle or 2 of Rum for he Loves Liquor then told me every thing, what I should do & what belonged to my office. Thus I got into the Way pretty well. We sailed from the River the latter end of March, & we were not long out at Sea, before I was sick & confined so for 15 Days. I thought many Times, if I was on Shore, they should be Sai- lors who would for me, But when I got better, I came thro' pretty well, as I had no ship's duty to do. It was a very cold uncomfortable voyage for about 4 months we returned very unsuccessfull, having got no more than one fish; I got from the Ship as soon I could, weary enough of my first Voyage.",
John Darnbrook,name,"weary",
John Darnbrook,name,"A few weeks after by Accident I went to the East India House",
John Darnbrook,placeName,"East India House",#mlpla000184
