Subject,Type,Value,Attribute
Richard Fenton,persName,"Richd Fenton",http://moravianlives.bucknell.edu/data/personography.html#mlper000556
Richard Fenton,name,"departed",
Richard Fenton,persName,"Richd Fenton",http://moravianlives.bucknell.edu/data/personography.html#mlper000556
Richard Fenton,name,"born  the 16th of May 1757 at Pudsey, in the Parish of Cal- verly",
Richard Fenton,placeName,"Pudsey, in the Parish of Cal- verly",#mlpla000110
Richard Fenton,name,"still",
Richard Fenton,name,"quiet",
Richard Fenton,name,"Satisfaction",
Richard Fenton,name,"enjoy",
Richard Fenton,name,"enjoyed",
Richard Fenton,name,"happy",
Richard Fenton,name,"waiting with Patience and Resig  - nation when it would please our Saviour to take him  into his eternal Joy & Security.",
Richard Fenton,name,"Patience",
Richard Fenton,name,"Resig  - nation",
Richard Fenton,name,"",
Richard Fenton,name,"",
Richard Fenton,name,"please",
Richard Fenton,name,"eternal Joy",
Richard Fenton,name,"resigned",
Richard Fenton,name,"Im- pression of our Saviour's love",
Richard Fenton,name,"Confidence",
Richard Fenton,name,"desired",
Richard Fenton,name,"refreshment",
Richard Fenton,name," very Sorry",
Richard Fenton,name,"pleasure",
Richard Fenton,name,"he had such a gracious visit of our Savr",
Richard Fenton,name,"gracious",
Richard Fenton,name,"quite satisfied",
Richard Fenton,name,"forgiven",
Richard Fenton,name,"gave myself quite anew",
Richard Fenton,name,"desired",
Richard Fenton,name,"happy",
Richard Fenton,name,"happy",
Richard Fenton,name,"thanked",
Richard Fenton,name,"love & favours",
Richard Fenton,name,"his Soul took its Flight",
Richard Fenton,name,"so happy",
