Subject,Type,Value,Attribute
Sarah Gurney,persName,"Sarah Gurney",#mlper000246
Sarah Gurney,name,"Born",
Sarah Gurney,placeName,"Mimms Middlesex",#mlpla000137
Sarah Gurney,name,"Baptiz'd",
Sarah Gurney,name,"tender",
Sarah Gurney,name,"frighten'd",
Sarah Gurney,name,"greatly concerned",
Sarah Gurney,name,"so Affected me",
Sarah Gurney,name,"concern",
Sarah Gurney,name,"happiness",
Sarah Gurney,name,"trusting",
Sarah Gurney,name,"so affectionate",
Sarah Gurney,name,"affected me so",
Sarah Gurney,name,"wish'd",
Sarah Gurney,placeName,"London",#mlpla000054
Sarah Gurney,name,"gayeties",
Sarah Gurney,name,"very heavy",
Sarah Gurney,name,"great temptations",
Sarah Gurney,placeName,"Putney",#mlpla000239
Sarah Gurney,name,"miserable",
Sarah Gurney,name,"melancholy",
Sarah Gurney,name,"concern'd",
Sarah Gurney,name,"desir'd",
Sarah Gurney,placeName,"Fetter Lane",#mlpla000004
Sarah Gurney,name,"peace",
Sarah Gurney,name,"very much frightened",
Sarah Gurney,name,"compos'd",
Sarah Gurney,name,"confidence",
Sarah Gurney,name,"hurt",
Sarah Gurney,name,"lik'd",
Sarah Gurney,name,"very desirous",
Sarah Gurney,name,"terribly frighten'd",
Sarah Gurney,name,"wishing much",
Sarah Gurney,placeName,"France",#mlpla000240
Sarah Gurney,name,"confirm'd by the Bishop",
Sarah Gurney,name,"partook of the Lord's Supper",
Sarah Gurney,name,"blessed",
Sarah Gurney,placeName,"Fetter Lane",#mlpla000004
Sarah Gurney,name,"directly assured in my heart",
Sarah Gurney,placeName,"German",#mlpla000139
Sarah Gurney,persName,"Br Spaningburg",#mlper000602
Sarah Gurney,persName,"Anna Nitchman",#mlper000213
Sarah Gurney,persName,"Sr. Anna LaTrobe",#mlper000717
Sarah Gurney,name,"indifferent",
Sarah Gurney,name,"fearing",
Sarah Gurney,name,"felt it in my heart",
Sarah Gurney,name,"faith",
Sarah Gurney,name,"forgiveness",
Sarah Gurney,name,"wish'd",
Sarah Gurney,name,"forgiveness",
Sarah Gurney,name,"desir'd",
Sarah Gurney,name,"wish'd",
Sarah Gurney,name,"desir'd",
Sarah Gurney,name,"exceeding great love",
Sarah Gurney,name,"wish'd",
Sarah Gurney,name,"earnestly",
Sarah Gurney,name,"love",
Sarah Gurney,name,"in my heart",
Sarah Gurney,name,"forgiveness",
Sarah Gurney,name,"felt in my heart",
Sarah Gurney,name,"happy",
Sarah Gurney,name,"happiness",
Sarah Gurney,name,"Grace",
Sarah Gurney,name,"dark",
Sarah Gurney,name,"miserable",
Sarah Gurney,name,"frightened",
Sarah Gurney,name,"wretched",
Sarah Gurney,name,"in my heart",
Sarah Gurney,name,"grace",
Sarah Gurney,name,"distress",
Sarah Gurney,name,"bless",
Sarah Gurney,name,"confidence",
Sarah Gurney,placeName,"London",#mlpla000054
Sarah Gurney,name,"I was rec'd into the Congn",
Sarah Gurney,name,"really blessed",
Sarah Gurney,name,"longing desire",
Sarah Gurney,name,"H. Sacrament",
Sarah Gurney,name,"wretched",
Sarah Gurney,name,"afraid",
Sarah Gurney,persName,"Anna Nitchman",#mlper000213
Sarah Gurney,persName,"A. Johanna",#mlper000699
Sarah Gurney,placeName,"Red Lyon Square",#mlpla000242
Sarah Gurney,name,"H. Comn",
Sarah Gurney,name,"lasting, impression on my heart",
Sarah Gurney,name,"blessings",
Sarah Gurney,name,"distress",
Sarah Gurney,name,"sufferings",
Sarah Gurney,name,"love",
Sarah Gurney,name,"peace",
Sarah Gurney,name,"truly ashamed",
Sarah Gurney,persName,"A. Nitchman",#mlper000213
Sarah Gurney,placeName,"Mile end",#mlpla000195
Sarah Gurney,name,"enjoy'd",
Sarah Gurney,name,"very happy",
Sarah Gurney,placeName,"Hhuth",#mlpla000001
Sarah Gurney,name,"with my whole heart",
Sarah Gurney,name,"much respected",
Sarah Gurney,name,"happy",
Sarah Gurney,name,"enjoy'd",
Sarah Gurney,name,"blessings",
Sarah Gurney,persName,"Count",#mlper000566
Sarah Gurney,placeName,"Bethelsdorf",#mlpla000026
Sarah Gurney,placeName,"Hhuth",#mlpla000001
Sarah Gurney,name,"greatful",
Sarah Gurney,name,"admitted among the Intercessors",
Sarah Gurney,name,"blessed",
Sarah Gurney,placeName,"Fulneck",#mlpla000003
Sarah Gurney,name,"thousand, thousand thanks",
Sarah Gurney,name,"gracious",
Sarah Gurney,name,"everlasting happiness",
Sarah Gurney,placeName,"Fulneck",#mlpla000003
Sarah Gurney,name,"love",
Sarah Gurney,name,"earnest",
Sarah Gurney,name,"desire",
Sarah Gurney,name,"love",
Sarah Gurney,name,"darkness",
Sarah Gurney,name,"feeling of my misery",
Sarah Gurney,name,"love",
Sarah Gurney,name,"pitty",
Sarah Gurney,name,"grace",
Sarah Gurney,name,"no happiness",
Sarah Gurney,name,"rest",
Sarah Gurney,name,"faith",
Sarah Gurney,name,"more happiness",
Sarah Gurney,name,"comforts",
Sarah Gurney,name,"mercy",
Sarah Gurney,name,"guilt",
Sarah Gurney,name,"patience",
Sarah Gurney,name,"pain",
Sarah Gurney,name,"melted",
Sarah Gurney,name,"love",
Sarah Gurney,name,"love",
Sarah Gurney,name,"love",
Sarah Gurney,name,"with my whole heart",
Sarah Gurney,name,"praise",
Sarah Gurney,name,"contrition",
Sarah Gurney,name,"forgave",
Sarah Gurney,name,"forgiveness",
Sarah Gurney,name,"tenderness",
Sarah Gurney,name,"praise",
Sarah Gurney,name,"mercies",
Sarah Gurney,name,"praise",
