Subject,Type,Value,Attribute
Mary Hinchcliffe,persName,"Mary Hinchcliff",http://moravianlives.bucknell.edu/data/personography.html#mlper000574
Mary Hinchcliffe,name,"went happily to our Savr:",
Mary Hinchcliffe,name,"happily",
Mary Hinchcliffe,name,"born at Wibsey in the Parish of Bradford Yorkshire",
Mary Hinchcliffe,placeName,"Wibsey in the Parish of Bradford Yorkshire",#mlpla000349
Mary Hinchcliffe,name,"reciev'd into Society",
Mary Hinchcliffe,name,"married",
Mary Hinchcliffe,name,"loving",
Mary Hinchcliffe,name,"She was reciev'd into the Pudsey Congregn (at Fullneck) in 1758",
Mary Hinchcliffe,placeName,"Pudsey",mlpla000090
Mary Hinchcliffe,placeName,"Fullneck",mlpla000003
Mary Hinchcliffe,name,"Holy Sacrament",
Mary Hinchcliffe,name,"blessd",
Mary Hinchcliffe,persName,"Hinchcliff",http://moravianlives.bucknell.edu/data/personography.html#mlper000574
Mary Hinchcliffe,name,"quiet",
Mary Hinchcliffe,name,"hearty",
Mary Hinchcliffe,name,"Helpers Conference",
Mary Hinchcliffe,name,"very blessed Effect on her Heart",
Mary Hinchcliffe,name,"Love",
Mary Hinchcliffe,name,"Shames",
Mary Hinchcliffe,name,"Meetings",
Mary Hinchcliffe,name,"dejected",
Mary Hinchcliffe,name,"very heartily & lovingly",
Mary Hinchcliffe,name,"very heartily",
Mary Hinchcliffe,name,"Love",
Mary Hinchcliffe,name,"dear",
Mary Hinchcliffe,name,"Love",
Mary Hinchcliffe,name,"care",
Mary Hinchcliffe,name,"concern",
Mary Hinchcliffe,name,"complain'd",
Mary Hinchcliffe,name,"gone",
Mary Hinchcliffe,name,"quiet",
Mary Hinchcliffe,name,"com- forted",
Mary Hinchcliffe,name,"placidly",
Mary Hinchcliffe,name,"most loving",
Mary Hinchcliffe,name,"kind",
Mary Hinchcliffe,name,"affectionate",
Mary Hinchcliffe,name,"real Loss",
Mary Hinchcliffe,name,"Pleasure",
Mary Hinchcliffe,name,"loving",
Mary Hinchcliffe,name,"compassionate Heart",
