Subject,Type,Value,Attribute
,persName,"A. E. Marychurch",#mlper000565
,name,"regret",
,name,"deep religious feeling",
,name,"ex treme humility",
,name,"exciting",
,persName,"Ann Elizabeth Marychurch",#mlper000565
,name,"born",
,name,"baptized in the Brethrens Church in Bristol",
,placeName,"Brethrens Church in Bristol",#mlpla000030
,name,"loved",
,name,"cherished",
,name,"esteemed",
,name,"zealous",
,name,"very affectionate",
,name,"tender",
,name,"not happy",
,name,"suffered much",
,name,"troubles",
,name,"timid",
,name,"very unhappy",
,name,"not so happy",
,name,"she was confirmed by the Revd Dr. Okely the minister of the Congrega tion",
,persName,"Revd Dr. Okely",#mlper000703
,name,"she became a received member",
,name,"excit ed",
,name,"Solemn",
,name,"deep religious impressions",
,name,"inescpressible love",
,name,"ear nest",
,name,"desires",
,name,"solemn",
,name,"dedication",
,name,"bemoan",
,name,"wretched",
,name,"sceptism",
,name,"peace",
,name,"hope",
,name,"disquietude",
,name,"torment",
,name,"doubts",
,name,"cherished",
,name,"most dearly",
,name,"temptation",
,name,"harrased mind",
,name,"comfort",
,name,"complained",
,name,"hardness of heart",
,name,"poignant",
,name,"distress",
,name,"comfort",
,name,"Grace",
,name,"Holy Comnmunion",
,name,"love",
,name,"heart was filled",
,name,"rapture",
,name,"joy",
,name,"heartily",
,name,"rest",
,name,"anxious",
,name,"zealous",
,name,"infermities",
,name,"valued",
,placeName,"Parish of St James",#mlpla000164
,placeName,"Parish of St Michael",#mlpla000165
,name,"deep interest",
,name,"especial interest",
,placeName,"Bristol",#mlpla000030
,name,"revered",
,name,"love",
,name,"despondency",
,name,"nervous",
,persName,"Br Ramftler",#mlper000541
,name,"delight",
,name,"gladly",
,name,"comforts",
,placeName,"West Indies",#mlpla000167
,name,"devoted",
,name,"sympathise",
,name,"blessed",
,name,"heartfelt",
,name,"sorrow",
,name,"devoted",
,name,"temptation",
,name,"doubted",
,name,"loved",
,name,"heart ever ready",
,name,"sympathise",
,name,"joys",
,name,"sorrows",
,name,"warmly",
,name,"at tached",
,name,"loved",
,name,"sorrowed much",
,name,"fervently",
,name,"loved",
,name,"love",
,name,"attachment",
,name,"sensitive",
,name,"venerable",
,name,"beloved",
,name,"doubts",
,name,"fears",
,name,"grace",
,name,"most unhappy",
,name,"temptations",
,name,"despondency",
,name,"loved",
,placeName,"Calne",#mlpla000169
,name,"troubles",
,name,"humility",
,name,"fear",
,name,"faith",
,name,"love",
,placeName,"Calne",#mlpla000169
,name,"satisfied",
,name,"sympathising",
,name,"grace",
,name,"coldness",
,name,"deadness",
,name,"warmth",
,name,"please",
,name,"wish",
,name,"anxiety",
,name,"trust",
,name,"cheerful",
,name,"happy",
,placeName,"North of England",#mlpla000072
,placeName,"Fulnec",#mlpla000003
,name,"cheerful",
,name,"delighted",
,name,"dear",
,name,"valued",
,placeName,"Stafford shire",http://dbpedia.org/resource/Staffordshire
,name,"tenderly",
,name,"an xiously",
,name,"attach ed",
,name,"peace",
,name,"fears",
,name,"love",
,name,"rests",
,name,"peace",
,name,"happily",
,name,"beloved",
,name,"beloved",
,name,"suf fering",
,name,"rejoicing",
,name,"mourn",
,name,"wish",
,name,"joy",
,name,"loving",
,name,"beloved",
,name,"most touching",
,name,"deep appreciation",
,name,"respect",
,name,"endeared",
,name,"tenderly",
,name,"mourn",
,name,"ardour",
,name,"affection",
,name,"humility",
,name,"ardently",
,name,"craved",
,name,"very gracious",
,name,"suffering",
,name,"beloved",
,name,"so devoted",
,name,"large hearted",
,name,"loving",
,name,"zeal",
,name,"warmly",
,name,"comfort ing",
,name,"comforted",
,name,"sweet",
,name,"tender",
,name,"solicitude",
,name,"want",
,name,"affectionate",
,name,"interest",
,name,"earnest ly",
,placeName,"Bristol",mlpla000030
