Subject,Type,Value,Attribute
John Morgan,name,"Departed",
John Morgan,persName,"John Morgan",#mlper000563
John Morgan,name,"born at Kensington near London",
John Morgan,placeName,"Kensington near London",#mlpla000199
John Morgan,name,"He came to the Childns Oeconomy at Buttermeer when he was about 3 Years old",
John Morgan,placeName,"Buttermeer",#mlpla000031
John Morgan,name,"re- serv'd",
John Morgan,name,"sigh",
John Morgan,placeName,"Lambshill",#mlpla000048
John Morgan,name,"upon his Heart",
John Morgan,name,"curiosity",
John Morgan,name,"shy",
John Morgan,name,"very much distressed",
John Morgan,name,"fears",
John Morgan,name,"heavy",
John Morgan,name,"painful",
John Morgan,name,"dear",
John Morgan,name,"dark",
John Morgan,name,"gloomy",
John Morgan,name,"pleasure",
John Morgan,name,"He was receiv'd into the great Boys choir Jany 9, 1797 by Br Renatus",
John Morgan,persName,"Br Renatus",#mlper000166
John Morgan,name,"blessed",
John Morgan,name,"anxious",
John Morgan,name,"red and wet Eyes",
John Morgan,name,"desire",
John Morgan,name,"pleasing",
John Morgan,name,"pain'd",
John Morgan,name,"dis- pair",
John Morgan,name,"clear",
John Morgan,name,"unreserved",
John Morgan,name,"concern'd",
John Morgan,name,"lively",
John Morgan,name,"Heart",
John Morgan,name,"clear",
John Morgan,name,"open",
John Morgan,name,"desire",
John Morgan,name,"heart",
John Morgan,name,"not in so tender",
John Morgan,name,"much concern'd",
John Morgan,name,"heart",
John Morgan,name,"not been so lively",
John Morgan,name,"not distress'd",
John Morgan,name,"troubled",
John Morgan,name,"agre- able",
John Morgan,name,"ease",
John Morgan,name,"concern",
John Morgan,name,"concern",
John Morgan,name,"heart",
John Morgan,name,"not more lively",
John Morgan,name,"warm",
John Morgan,name,"not enjoy'd",
John Morgan,name,"confident",
John Morgan,name,"he now knew he should go home this time express'd also a desire after it.",
John Morgan,name,"desire",
John Morgan,name,"he expressed again his desire to go home",
John Morgan,name,"desire",
John Morgan,name,"without pain",
John Morgan,name,"enjoying",
John Morgan,name,"holy Communion",
John Morgan,name,"pain",
John Morgan,name,"tender",
John Morgan,name,"bles- sing",
