Subject,Type,Value,Attribute
Sarah Mortimer,persName,"Sarah Mortimer",#mlper000258
Sarah Mortimer,placeName,"Fulneck",#mlpla000003
Sarah Mortimer,persName,"Sarah Mortimer",#mlper000258
Sarah Mortimer,placeName,"parish of Birstal",#mlpla000030
Sarah Mortimer,placeName,"Okbrook",#mlpla000063
Sarah Mortimer,placeName,"Little More",#mlpla000052
Sarah Mortimer,placeName,"Fulnek",#mlpla000003
Sarah Mortimer,placeName,"Fulneck",#mlpla000003
Sarah Mortimer,name,"rec'd",
Sarah Mortimer,name,"H. Comn",
Sarah Mortimer,name,"rec'd",
Sarah Mortimer,name,"rec'd",
Sarah Mortimer,placeName,"Gumersal",#mlpla000041
