Subject,Type,Value,Attribute
Sarah Skelton,persName,"Sarah Skelton",#mlper000272
Sarah Skelton,placeName,"Fulneck",#mlpla000003
Sarah Skelton,placeName,"Yorkshire",#mlpla000084
Sarah Skelton,name,"baptiz'd",
Sarah Skelton,placeName,"Fulneck",#mlpla000003
Sarah Skelton,placeName,"Fulneck",#mlpla000003
Sarah Skelton,name,"receivd",
Sarah Skelton,placeName,"Gumersall",#mlpla000041
Sarah Skelton,name,"recievd into the Congr",
Sarah Skelton,name,"receivd",
Sarah Skelton,name,"H: Comunion",
Sarah Skelton,name,"H: Communion",
Sarah Skelton,name,"H: Commuion",
Sarah Skelton,placeName,"Fulneck",#mlpla000003
