Subject,Type,Value,Attribute
Crispin Taylor,persName,"Crispin Taylor",#mlper000562
Crispin Taylor,name,"born in Wyke in the Parish of Birstall",
Crispin Taylor,placeName,"Wyke in the Parish of Birstall",#mlpla000102
Crispin Taylor,name,"married to Mary Wilkinson",
Crispin Taylor,persName,"Mary Wilkinson",#mlper000690
Crispin Taylor,name,"lo- ving",
Crispin Taylor,name,"tender",
Crispin Taylor,persName,"Mr. Ingham",#mlper000536
Crispin Taylor,name,"heart was touchd",
Crispin Taylor,name,"Sermon",
Crispin Taylor,placeName,"Yorkshire",#mlpla000084
Crispin Taylor,name,"great Satisfaction",
Crispin Taylor,name,"Blessing",
Crispin Taylor,name,"to their hearts",
Crispin Taylor,name,"very desirous",
Crispin Taylor,persName,"Br Toltshig",#mlper0006927
Crispin Taylor,name,"hearts",
Crispin Taylor,name,"desire",
Crispin Taylor,name,"earnest",
Crispin Taylor,name,"Requests this favour granted him",
Crispin Taylor,name,"great Joy",
Crispin Taylor,name,"of his heart",
Crispin Taylor,name,"extraordinary Blessing",
Crispin Taylor,name,"chearfull",
Crispin Taylor,name,"lively",
Crispin Taylor,name,"happy",
Crispin Taylor,name,"secretly longed",
Crispin Taylor,name,"Sacrament",
Crispin Taylor,name,"hunger",
Crispin Taylor,name,"desire",
Crispin Taylor,name,"blessed",
Crispin Taylor,name,"heart",
Crispin Taylor,name,"very glad",
Crispin Taylor,name,"more attached",
Crispin Taylor,name,"holy Communion",
Crispin Taylor,name,"so happy",
Crispin Taylor,name,"in his heart",
Crispin Taylor,name,"Blessings",
Crispin Taylor,name,"concernd",
Crispin Taylor,name,"very tender",
Crispin Taylor,name,"comforted",
Crispin Taylor,name,"troubled",
Crispin Taylor,name,"Pain",
Crispin Taylor,name,"chearfull",
Crispin Taylor,name,"quite resigned",
Crispin Taylor,persName,"Br Oxlee",#mlper000648
Crispin Taylor,name,"Shame",
Crispin Taylor,persName,"Crispin Taylor",#mlper000562
Crispin Taylor,persName,"Br Oxlee",#mlper000648
Crispin Taylor,name,"feard",
Crispin Taylor,name,"grieved",
Crispin Taylor,name,"very chearfully",
Crispin Taylor,name,"like",
Crispin Taylor,name,"O yes, with all my heart and Soul; I would go this night, if it pleased him, but yet I'll wait till he calls me, for his time is the  best.",
Crispin Taylor,name,"all my heart",
Crispin Taylor,name,"pleased",
Crispin Taylor,name,"exceeding glad",
Crispin Taylor,name,"great Joy",
Crispin Taylor,persName,"Br Oxlee",#mlper000648
Crispin Taylor,name,"pain",
Crispin Taylor,name,"for I love",
Crispin Taylor,name,"very glad",
Crispin Taylor,persName,"Br Oxlee",#mlper000648
Crispin Taylor,persName,"Crispin",#mlper000562
Crispin Taylor,name,"heart",
Crispin Taylor,name,"desired",
Crispin Taylor,name,"smiled",
Crispin Taylor,name,"hearts",
Crispin Taylor,name,"Desire",
Crispin Taylor,name,"earnest",
Crispin Taylor,persName,"Oxlee",#mlper000648
Crispin Taylor,name,"inexpressible feeling",
Crispin Taylor,persName,"Br Hauptmann",#mlper000689
Crispin Taylor,name,"Sacrament",
Crispin Taylor,name,"pains",
Crispin Taylor,name,"hope",
Crispin Taylor,persName,"Hurlock",#mlper000691
Crispin Taylor,name,"despaired",
Crispin Taylor,name,"much pleased",
Crispin Taylor,persName,"Oxlee",#mlper000648
Crispin Taylor,name,"like",
Crispin Taylor,name,"pain",
Crispin Taylor,name,"sufferd",
Crispin Taylor,name,"excee- ding chearfull",
Crispin Taylor,name,"kiss",
Crispin Taylor,name,"thankd",
Crispin Taylor,name,"Communion",
Crispin Taylor,name,"very much rejoiced",
Crispin Taylor,name,"glad",
Crispin Taylor,persName,"Hauptmann",#mlper000689
Crispin Taylor,name,"very chearfull",
Crispin Taylor,name,"happy",
Crispin Taylor,name,"very hungry",
Crispin Taylor,name,"blessed",
Crispin Taylor,name,"Com- munion",
Crispin Taylor,name,"great pain",
Crispin Taylor,name,"tenderly",
Crispin Taylor,name,"painfull",
Crispin Taylor,name,"weeping",
Crispin Taylor,name,"trembling",
Crispin Taylor,name,"bless",
Crispin Taylor,name,"bless",
Crispin Taylor,name,"weeping",
Crispin Taylor,name,"Sighs",
Crispin Taylor,name,"ex- ceeding sweet",
Crispin Taylor,name,"Smiling",
Crispin Taylor,name,"happily",
