Subject,Type,Value,Attribute
Charles Henry Conrad Von Larisch,placeName,"Lindsey House",#mlpla000231
Charles Henry Conrad Von Larisch,persName,"Larish",http://moravianlives.bucknell.edu/data/personography.html#mlper000539
Charles Henry Conrad Von Larisch,placeName,"London",#mlpla000054
Charles Henry Conrad Von Larisch,placeName,"Lindsey House",#mlpla000231
Charles Henry Conrad Von Larisch,persName,"Disciple",http://moravianlives.bucknell.edu/data/personography.html#mlper000566
Charles Henry Conrad Von Larisch,name,"shock'd",
Charles Henry Conrad Von Larisch,name,"fears",
Charles Henry Conrad Von Larisch,name,"Fear",
Charles Henry Conrad Von Larisch,name,"Awe",
Charles Henry Conrad Von Larisch,name,"Reverence",
Charles Henry Conrad Von Larisch,name,"afraid",
Charles Henry Conrad Von Larisch,persName,"Larish",http://moravianlives.bucknell.edu/data/personography.html#mlper000539
Charles Henry Conrad Von Larisch,placeName,"Hhuth",#mlpla000001
Charles Henry Conrad Von Larisch,name,"surprising",
Charles Henry Conrad Von Larisch,name,"embarrass'd",
Charles Henry Conrad Von Larisch,persName,"Larish",http://moravianlives.bucknell.edu/data/personography.html#mlper000539
Charles Henry Conrad Von Larisch,name,"unconcerndly",
Charles Henry Conrad Von Larisch,name,"asham'd",
Charles Henry Conrad Von Larisch,name,"so much happier",
Charles Henry Conrad Von Larisch,name,"wish",
Charles Henry Conrad Von Larisch,name,"with all my Heart",
Charles Henry Conrad Von Larisch,persName,"Charles Henry Conrad von Larish",http://moravianlives.bucknell.edu/data/personography.html#mlper000539
Charles Henry Conrad Von Larisch,name,"born Sept 22nd 1711 in Gradenwiz near Cosel in upper Silesia",
Charles Henry Conrad Von Larisch,placeName,"Gradenwiz near Cosel in upper Silesia",#mlpla000257
Charles Henry Conrad Von Larisch,persName,"Larish",http://www.wikidata.org/entity/Q37482094
Charles Henry Conrad Von Larisch,placeName,"Surinam",#mlpla000433
Charles Henry Conrad Von Larisch,name,"tender",
Charles Henry Conrad Von Larisch,name,"concern'd",
Charles Henry Conrad Von Larisch,placeName,"Mandel",#mlpla000434
Charles Henry Conrad Von Larisch,name,"Blessing",
Charles Henry Conrad Von Larisch,name,"for his Heart",
Charles Henry Conrad Von Larisch,placeName,"Jena",#mlpla000354
Charles Henry Conrad Von Larisch,placeName,"Hhuth",#mlpla000001
Charles Henry Conrad Von Larisch,name,"nearer to his Heart",
Charles Henry Conrad Von Larisch,name,"no true rest",
Charles Henry Conrad Von Larisch,name,"An xiety",
Charles Henry Conrad Von Larisch,name,"Blessing",
Charles Henry Conrad Von Larisch,name,"for his Heart",
Charles Henry Conrad Von Larisch,name,"true- ly blessed",
Charles Henry Conrad Von Larisch,name,"for his Heart",
Charles Henry Conrad Von Larisch,name,"Sacrament",
Charles Henry Conrad Von Larisch,name,"He came over to Engl. were he staid for some time especially in Yorkshire",
Charles Henry Conrad Von Larisch,placeName,"Engl.",#mlpla000072
Charles Henry Conrad Von Larisch,placeName,"Yorkshire",#mlpla000084
Charles Henry Conrad Von Larisch,name,"with his whole Heart",
Charles Henry Conrad Von Larisch,name,"from thence he returned in com- pany with the Dr Disciple & Mother to Holland",
Charles Henry Conrad Von Larisch,persName,"Dr Disciple",#mlper000566
Charles Henry Conrad Von Larisch,persName,"Mother",#mlper000213
Charles Henry Conrad Von Larisch,placeName,"Holland",#mlpla000179
Charles Henry Conrad Von Larisch,name,"so on to M-born",
Charles Henry Conrad Von Larisch,placeName,"M-born",#mlpla000057
Charles Henry Conrad Von Larisch,name,"Married to our Sr Diana Raymond",
Charles Henry Conrad Von Larisch,placeName,"Engl",#mlpla000072
Charles Henry Conrad Von Larisch,name,"Bles- sings",
Charles Henry Conrad Von Larisch,placeName,"Hhuth",#mlpla000001
Charles Henry Conrad Von Larisch,placeName,"Hhaag",#mlpla000014
Charles Henry Conrad Von Larisch,name,"comfort",
Charles Henry Conrad Von Larisch,placeName,"Hhaag",#mlpla000014
Charles Henry Conrad Von Larisch,name,"he went with her first to Zeyst",
Charles Henry Conrad Von Larisch,placeName,"Zeyst",#mlpla000150
Charles Henry Conrad Von Larisch,name,"in the last Year again to Engl",
Charles Henry Conrad Von Larisch,placeName,"Engl",#mlpla000072
Charles Henry Conrad Von Larisch,name,"enjoyed",
Charles Henry Conrad Von Larisch,name,"Grace",
Charles Henry Conrad Von Larisch,name,"Blessings",
Charles Henry Conrad Von Larisch,name,"for his Heart",
Charles Henry Conrad Von Larisch,name,"lov'd",
Charles Henry Conrad Von Larisch,name,"attachment",
Charles Henry Conrad Von Larisch,name,"Heart",
Charles Henry Conrad Von Larisch,name,"full of love",
Charles Henry Conrad Von Larisch,name,"Heart al- ways",
Charles Henry Conrad Von Larisch,name,"long'd",
Charles Henry Conrad Von Larisch,name,"kiss",
Charles Henry Conrad Von Larisch,name,"Chearfull-",
Charles Henry Conrad Von Larisch,name,"very happily",
Charles Henry Conrad Von Larisch,name,"pain",
Charles Henry Conrad Von Larisch,name,"comforted",
Charles Henry Conrad Von Larisch,name,"sufferings",
Charles Henry Conrad Von Larisch,name,"& rejoiced at the sweet hour of his release, & only wish'd that our Saviour wo'd take him to himself in sleep.",
Charles Henry Conrad Von Larisch,name,"rejoiced",
Charles Henry Conrad Von Larisch,name,"wish'd",
Charles Henry Conrad Von Larisch,name,"satisfac- tion",
Charles Henry Conrad Von Larisch,name,"kiss",
Charles Henry Conrad Von Larisch,name,"desire",
Charles Henry Conrad Von Larisch,name,"rejoyced",
Charles Henry Conrad Von Larisch,name,"bless",
Charles Henry Conrad Von Larisch,name,"kiss him",
Charles Henry Conrad Von Larisch,name,"upon the Heart",
Charles Henry Conrad Von Larisch,name,"kiss",
Charles Henry Conrad Von Larisch,name,"on thy Heart",
Charles Henry Conrad Von Larisch,name,"Joy",
Charles Henry Conrad Von Larisch,name,"for give",
Charles Henry Conrad Von Larisch,name,"thank",
Charles Henry Conrad Von Larisch,name,"Love",
Charles Henry Conrad Von Larisch,name,"thank",
Charles Henry Conrad Von Larisch,name,"wish",
Charles Henry Conrad Von Larisch,name,"desired",
Charles Henry Conrad Von Larisch,name,"smiling",
Charles Henry Conrad Von Larisch,name,"Bless",
Charles Henry Conrad Von Larisch,name,"Blessed",
Charles Henry Conrad Von Larisch,name,"happy",
Charles Henry Conrad Von Larisch,name,"heart",
Charles Henry Conrad Von Larisch,name,"Blessing",
Charles Henry Conrad Von Larisch,name,"kiss",
Charles Henry Conrad Von Larisch,name,"sweetly",
Charles Henry Conrad Von Larisch,name,"upon my heart",
Charles Henry Conrad Von Larisch,name,"kisses",
Charles Henry Conrad Von Larisch,name,"Blessed",
Charles Henry Conrad Von Larisch,name,"wish",
Charles Henry Conrad Von Larisch,name,"kiss'd",
Charles Henry Conrad Von Larisch,name,"rest",
Charles Henry Conrad Von Larisch,name,"rest",
Charles Henry Conrad Von Larisch,name,"very happy",
Charles Henry Conrad Von Larisch,name,"delighted",
Charles Henry Conrad Von Larisch,persName,"L.",http://moravianlives.bucknell.edu/data/personography.html#mlper000539
Charles Henry Conrad Von Larisch,name,"Grace",
Charles Henry Conrad Von Larisch,name,"sweetly",
Charles Henry Conrad Von Larisch,name,"rest",
Charles Henry Conrad Von Larisch,name,"doubt",
Charles Henry Conrad Von Larisch,name,"Agony",
Charles Henry Conrad Von Larisch,name,"Pleasure",
Charles Henry Conrad Von Larisch,persName,"Larish",http://moravianlives.bucknell.edu/data/personography.html#mlper000539
Charles Henry Conrad Von Larisch,name,"Applause",
Charles Henry Conrad Von Larisch,name,"blush",
Charles Henry Conrad Von Larisch,name,"chearful",
Charles Henry Conrad Von Larisch,persName,"Larish",http://moravianlives.bucknell.edu/data/personography.html#mlper000539
Charles Henry Conrad Von Larisch,name,"Delight",
Charles Henry Conrad Von Larisch,persName,"Larish",http://moravianlives.bucknell.edu/data/personography.html#mlper000539
Charles Henry Conrad Von Larisch,persName,"Larish",http://moravianlives.bucknell.edu/data/personography.html#mlper000539
Charles Henry Conrad Von Larisch,name,"happy",
Charles Henry Conrad Von Larisch,name,"Shame",
