Subject,Type,Value,Attribute
Margaret Mary Woodhouse,persName,"Woodhouse",http://moravianlives.bucknell.edu/data/personography.html#mlper000293
Margaret Mary Woodhouse,name,"I was born Sepr 4th 1713 in the City of York",
Margaret Mary Woodhouse,placeName,"City of York",#mlpla000209
Margaret Mary Woodhouse,name,"baptiz'd in the Ch of England",
Margaret Mary Woodhouse,name,"desire",
Margaret Mary Woodhouse,name,"please",
Margaret Mary Woodhouse,name,"heart constantly convicted",
Margaret Mary Woodhouse,name,"hopes",
Margaret Mary Woodhouse,placeName,"London",#mlpla000054
Margaret Mary Woodhouse,name,"supriz'd",
Margaret Mary Woodhouse,name,"I came to London",
Margaret Mary Woodhouse,placeName,"London",#mlpla000054
Margaret Mary Woodhouse,name,"desir'd",
Margaret Mary Woodhouse,name,"disappointment",
Margaret Mary Woodhouse,placeName,"Bloomsbury Square",#mlpla000143
Margaret Mary Woodhouse,placeName,"Berkshire",#mlpla000208
Margaret Mary Woodhouse,name,"imbitter'd",
Margaret Mary Woodhouse,name,"very miserable",
Margaret Mary Woodhouse,name,"lively",
Margaret Mary Woodhouse,placeName,"London",#mlpla000054
Margaret Mary Woodhouse,name,"great distress",
Margaret Mary Woodhouse,placeName,"London",#mlpla000054
Margaret Mary Woodhouse,placeName,"Berkshire",#mlpla000208
Margaret Mary Woodhouse,placeName,"Windsor",#mlpla000432
Margaret Mary Woodhouse,name,"consolation",
Margaret Mary Woodhouse,name,"mercy",
Margaret Mary Woodhouse,name,"desired much",
Margaret Mary Woodhouse,name,"make this visit to York",
Margaret Mary Woodhouse,placeName,"York",#mlpla000209
Margaret Mary Woodhouse,placeName,"York",#mlpla000209
Margaret Mary Woodhouse,name,"relaxation",
Margaret Mary Woodhouse,name,"uneasy",
Margaret Mary Woodhouse,name,"lov'd",
Margaret Mary Woodhouse,placeName,"Berkshire",#mlpla000208
Margaret Mary Woodhouse,name,"rest",
Margaret Mary Woodhouse,name,"grace",
Margaret Mary Woodhouse,name,"rest",
Margaret Mary Woodhouse,name,"Enmity",
Margaret Mary Woodhouse,name,"desir'd",
Margaret Mary Woodhouse,name,"comforted",
Margaret Mary Woodhouse,name,"sufferings",
Margaret Mary Woodhouse,name,"forgive",
Margaret Mary Woodhouse,name,"suffer'd",
Margaret Mary Woodhouse,name,"happy",
Margaret Mary Woodhouse,name,"happiness",
Margaret Mary Woodhouse,name,"grace",
Margaret Mary Woodhouse,name,"great distress",
