Element name,Attribute name,Attribute value, Frequency
name, occupation,teacher,1
name, occupation,helper,1
name, office,minister,5
name, office,visitor,4
name, office,bishop,1
name, occupation,apprentice,10
name, occupation,glover,1
name, occupation,clothier,3
name, office,disciple,1
name, office,servant,4
name, occupation,shoemaker,3
name, office,steward,2
name, occupation,clothmaker,1
name, occupation,doctor,4
name, occupation,surgeon,1
name, occupation,sailor,1
name, occupation,midshipman,1
name, occupation,usher,1
name, occupation,merchant,1
name, occupation,officer,1
name, occupation,manufacturer,2
name, office,warden,1
name, occupation,tailor,1
name, occupation,shopkeeper,1
name, office,labourer,2
name, office,spectator,3
name, occupation,mason,2
name,           ,         occupation="teacher,1
name, office,choir labourer,1
name, occupation,holster,1
name, occupation,cook,1
name, occupation,labrous,1
name, occupation,labouress,5
name, office,overseer,1
name, office,acolyte,1
name, office,houseservant,1



,,,,Total,72
