elementName," ""elementContent"""," ""typeAttributeIfPresent"""," ""occupation"""," ""office"""," ""health"""," ""event"""," ""ceremony"""," ""calendar"""," ""when""",
date," ""13th of July 1719"""," """""," """""," """""," """""," """""," """""," """""," ""1719-07-13""",
date," ""1696"," on the 22nd of December"""," ""birth"""," """""," """""," """""," """""," """""," """""," ""1696-12-22"""
date," ""19 Years of Age"""," """""," """""," """""," """""," """""," """""," """""," ""1715""",
date," ""22d of April 1752"""," """""," """""," """""," """""," """""," """""," """""," ""1752-04-22""",
date," ""Jan 21st"""," """""," """""," """""," """""," """""," """""," """""," ""1761-01-21""",
date," ""January 1760"""," """""," """""," """""," """""," """""," """""," """""," ""1760-01""",
date," ""March 24th 1761"""," ""death"""," """""," """""," """""," """""," """""," """""," ""1761-03-24""",
date," ""Monday night the 10th of November"""," """""," """""," """""," """""," """""," """""," """""," ""1760-11-10""",
date," ""Nov. 19th in the same year"""," """""," """""," """""," """""," """""," """""," """""," ""1752-11-19""",
name," ""Bond Servant"""," """""," """""," ""servant"""," """""," """""," """""," """""," """"",
name," ""Broad-Clothier"""," """""," ""clothier"""," """""," """""," """""," """""," """""," """"",
name," ""Disorder very became again"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",
name," ""Gospel"""," ""religious"""," """""," """""," """""," """""," """""," """""," """"",
name," ""Great Sabbath"""," ""holiday"""," """""," """""," """""," """""," """""," """""," """"",
name," ""Sacrament"""," """""," """""," """""," """""," ""sacrament"""," """""," """""," """"",
name," ""Sacrament"""," """""," """""," """""," """""," ""sacrament"""," """""," """""," """"",
name," ""Sacramt"""," """""," """""," """""," """""," ""sacrament"""," """""," """""," """"",
name," ""holy Sacramen"""," """""," """""," """""," """""," ""sacrament"""," """""," """""," """"",
name," ""holy Sacrament"""," """""," """""," """""," """""," ""sacrament"""," """""," """""," """"",
name," ""holy Sacramt"""," """""," """""," """""," """""," ""sacrament"""," """""," """""," """"",
name," ""married"""," """""," """""," """""," """""," ""marriage"""," """""," """""," """"",
name," ""new Testament"""," ""religious"""," """""," """""," """""," """""," """""," """""," """"",
name," ""receiv'd"""," """""," """""," """""," """""," ""reception"""," """""," """""," """"",
name," ""violent and pain- full Disorder"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Society"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Br Ockertshausen"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Br Watson"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Br Watson"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Jesus"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Jesus"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Jesus"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Joshua Barker"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Mr Ingham"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Chapel"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Church"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""G.H"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Hopton"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Huddersfield"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Lambs Hill"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Parish of Mirfield"""," """""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Br"""," """""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Br"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Br"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Br"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Brn"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Brother"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Lord"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Lord"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Savrs"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
