elementName," ""elementContent"""," ""typeAttributeIfPresent"""," ""occupation"""," ""office"""," ""health"""," ""event"""," ""ceremony"""," ""calendar"""," ""when""",,
date," ""14th year"""," """""," """""," """""," """""," """""," """""," """""," ""1728""",,
date," ""1737"""," """""," """""," """""," """""," """""," """""," """""," ""1737""",,
date," ""1739"""," """""," """""," """""," """""," """""," """""," """""," ""1739""",,
date," ""1749"""," """""," """""," """""," """""," """""," """""," """""," ""1749""",,
date," ""1750"""," """""," """""," """""," """""," """""," """""," """""," ""1750""",,
date," ""1755"""," """""," """""," """""," """""," """""," """""," """""," ""1755""",,
date," ""1760"""," """""," """""," """""," """""," """""," """""," """""," ""1760""",,
date," ""1762"""," """""," """""," """""," """""," """""," """""," """""," ""1762""",,
date," ""1767"""," """""," """""," """""," """""," """""," """""," """""," ""1767""",,
date," ""1775"""," """""," """""," """""," """""," """""," """""," """""," ""1755""",,
date," ""1779"""," """""," """""," """""," """""," """""," """""," """""," ""1779""",,
date," ""22d"""," """""," """""," """""," """""," """""," """""," """""," ""1733-02-22""",,
date," ""5th of septr"""," """""," """""," """""," """""," """""," """""," """""," ""1739-09-05""",,
date," ""April 1743"""," """""," """""," """""," """""," """""," """""," """""," ""1743-04""",,
date," ""April 1761"""," """""," """""," """""," """""," """""," """""," """""," ""1761-04""",,
date," ""August"""," """""," """""," """""," """""," """""," """""," """""," """"",,
date," ""Being 8 years old"""," """""," """""," """""," """""," """""," """""," """""," ""1722""",,
date," ""December the 10th 1758"""," """""," """""," """""," """""," """""," """""," """""," ""1758-12-10""",,
date," ""Feb of the year 1742"""," """""," """""," """""," """""," """""," """""," """""," ""1742-02""",,
date," ""Feby the 8th"""," """""," """""," """""," """""," """""," """""," """""," ""1733-2-08""",,
date," ""In the year 1734"""," """""," """""," """""," """""," """""," """""," """""," ""1734""",,
date," ""July 1745"""," """""," """""," """""," """""," """""," """""," """""," ""1745-07""",,
date," ""July 1754"""," """""," """""," """""," """""," """""," """""," """""," ""1754-07""",,
date," ""July the 1st"""," """""," """""," """""," """""," """""," """""," """""," ""1739-06-01""",,
date," ""July the 22d"""," """""," """""," """""," """""," """""," """""," """""," ""1754-07-22""",,
date," ""June of the same year"""," """""," """""," """""," """""," """""," """""," """""," ""1737-06""",,
date," ""May"""," """""," """""," """""," """""," """""," """""," """""," """"",,
date," ""Nov 13th"""," """""," """""," """""," """""," """""," """""," """""," ""1743-11-13""",,
date," ""Nov."""," """""," """""," """""," """""," """""," """""," """""," ""1753-11""",,
date," ""Oct the 16th"""," """""," """""," """""," """""," """""," """""," """""," ""10-16""",,
date," ""Oct. the 18th"""," """""," """""," """""," """""," """""," """""," """""," ""1739-10-18""",,
date," ""September"""," """""," """""," """""," """""," """""," """""," """""," """"",,
date," ""Septr"""," """""," """""," """""," """""," """""," """""," """""," """"",,
date," ""Septr 9. 1780"""," ""death"""," """""," """""," """""," """""," """""," """""," ""1780-09-09""",,
date," ""Septr the 23d"""," """""," """""," """""," """""," """""," """""," """""," ""1739-09-23""",,
date," ""about a year"""," """""," """""," """""," """""," """""," """""," """""," ""1780""",,
date," ""dec the 12th"""," """""," """""," """""," """""," """""," """""," """""," ""1755-12-12""",,
date," ""month of July"""," """""," """""," """""," """""," """""," """""," """""," ""1737-07""",,
date," ""septr"""," """""," """""," """""," """""," """""," """""," """""," """"",,
date," ""septr of the year 1748"""," """""," """""," """""," """""," """""," """""," """""," ""1748-09-30""",,
date," ""septr the 9th 1780 in the 66th"""," ""death"""," """""," """""," """""," """""," """""," """""," ""1780-09-09""",,
date," ""spring of 1753"""," """""," """""," """""," """""," """""," """""," """""," ""1753""",,
date," ""year 1733"""," """""," """""," """""," """""," """""," """""," """""," ""1733""",,
date," ""year 1714 Dec the 28th"""," ""birth"""," """""," """""," """""," """""," """""," """""," ""1714-12-28""",,
date," ""year 1735"""," """""," """""," """""," """""," """""," """""," """""," ""1735""",,
name," ""9 weeks illness"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",,
name," ""Bishop"""," """""," """""," ""bishop"""," """""," """""," """""," """""," """"",,
name," ""Congn helper"""," """""," ""helper"""," """""," """""," """""," """""," """""," """"",,
name," ""I fell sick"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",,
name," ""I fell sick again"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",,
name," ""Lord's supper"""," """""," """""," """""," """""," ""communion"""," """""," """""," """"",,
name," ""Minister"""," """""," """""," ""minister"""," """""," """""," """""," """""," """"",,
name," ""Minister"""," """""," """""," ""minister"""," """""," """""," """""," """""," """"",,
name," ""Synod"""," """""," """""," """""," """""," ""religious"""," """""," """""," """"",,
name," ""Synod"""," """""," """""," """""," """""," ""religious"""," """""," """""," """"",,
name," ""Synodal confce"""," """""," """""," """""," """""," ""religious"""," """""," """""," """"",,
name," ""another attack of the same disorder"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",,
name," ""another illness"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",,
name," ""anxiety of heart"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """"",,
name," ""appointed to visit the awakened souls"""," """""," """""," ""visitor"""," """""," """""," """""," """""," """"",,
name," ""consecrated"""," """""," """""," """""," """""," ""religious"""," """""," """""," """"",,
name," ""fever had left me"""," """""," """""," """""," ""recovered"""," """""," """""," """""," """"",,
name," ""holy Comn"""," """""," """""," """""," """""," ""communion"""," """""," """""," """"",,
name," ""in order to look for such as were awakened"""," """""," """""," ""visitor"""," """""," """""," """""," """""," """"",,
name," ""many tears"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """"",,
name," ""married"""," """""," """""," """""," """""," ""marriage"""," """""," """""," """"",,
name," ""minister"""," """"",""""""," ""minister"""," """""," """""," """""," """""," """"",,
name," ""ordai ned"""," """""," """""," """""," """""," ""religious"""," """""," """""," """"",,
name," ""parish minister"""," """""," """""," ""minister"""," """""," """""," """""," """""," """"",,
name," ""received into the congn"""," """""," """""," """""," """""," ""reception"""," """""," """""," """"",,
name," ""strength decayed and he grew mostly blind"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",,
name," ""stroke of the palsy"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",,
name," ""to be his teacher in music and the frensh language"""," """""," ""teacher"""," """""," """""," """""," """""," """""," """"",,
name," ""to serve the awakened souls in that place"""," """""," """""," ""visitor"""," """""," """""," """""," """""," """"",,
name," ""trembling  and throwing myself on the ground and prayed""","""emotion""","""""",""""""," """""," """""," """""," """""," """""," """""," """""
orgName," ""Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""Congn Council"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""Congregation"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""Congregation"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""Sisters"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""Sisters"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""Sisters"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""Sisters"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""brethren"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""brethren"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""brethren"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""brethren"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""brethren"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""brethren"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""brethrens congregation"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""childrens Oecy"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""congregation"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""sisters"""," """""," """""," """""," """""," """""," """""," """""," """"",,
orgName," ""sisters"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Boerignor"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Brumhards"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Christ"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Christ"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Christian Renatus de Zinzendorf"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Count of Neuwied"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Daer baum"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Elie Prendhomme"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""God"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""God"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""God"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""God"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""God"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""God"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""God"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""God"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Hamburgers"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Jena"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Jesu's"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Jesus"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Johanna de Seydewir"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Johannes"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""John"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""John Nitchman"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""John Nitchman"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""John Nitchman"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Molter"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Peter Boehler"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Philip Henry Molther"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Pindent"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Richter"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""Risler"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""The Count"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""charles Wesly"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""count of Neuwied"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""count of Neuwied"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""count of Neuwied"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""de Guion"""," """""," """""," """""," """""," """""," """""," """""," """"",,
persName," ""young count"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""America"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""America"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""America"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Barby"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Barby"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Bedford"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Bedford"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Bedford"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Bedford"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Berlin"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Berlin"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Bussweiler"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Bussweiler in Elsatia"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Cathrinenhatt"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Dublin"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""England"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""England"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Fetterlane"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""France"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Geneva"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Geneva"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Geneva"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Geneve"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Herrnhaag"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Herrnhaag"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Herrnhaag"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Herrnhut"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Herrnhut"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Herrnhut"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Hirschberg"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Holland"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Holland"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Imsheim"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Jena"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Jena"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Jena"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""London"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""London"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""London"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""London"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""London"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""London"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Lyon"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Lyon"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Marien"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Marienborn"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Marienborn"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Marienborn"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Marrienborn"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Marrienborn"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Metz"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Montmirail"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Montmirail"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Montmirail-house"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Neuwied"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Neuwied"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Neuwied"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Neuwied"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Neuwied"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Paris"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Pensylvania"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Pensylvania"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Pensylvania"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Pensylvania"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Silivia"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Speyer"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""St Thomas"""," """""," """""," """""," """""," """""," """""," """""," """"",,
placeName," ""Switzerland"""," """""," """""," """""," """""," """""," """""," """""," """"",,
