Memoir, Tag Name, Attribute Name, Attribute Value, Tag Contents
molther_philip,name,occupation,minister,Minister,
molther_philip,name,event,marriage,married,
molther_philip,name,event,religious,Synod,
molther_philip,name,occupation,minister,Minister,
fenton_richard,name,event,death" when-iso="1772-12-29,departed,
fenton_richard,name,emotion,still and quiet course,still &amp; quiet Course,
fenton_richard,name,emotion,satisfaction,Satisfaction,
fenton_richard,name,emotion,enjoy,enjoy,
fenton_richard,name,emotion,enjoyed,enjoyed,
fenton_richard,name,event,spiritual,waiting with ,
fenton_richard,name,emotion,patience and resignation,- nation,
fenton_richard,name,emotion,eternal joy,eternal Joy,
fenton_richard,name,emotion,resigned,resigned,
fenton_richard,name,emotion,confidence,Confidence,
fenton_richard,name,emotion,desired,desired,
fenton_richard,name,emotion,poor,poor,
fenton_richard,name,emotion,refreshment,refreshment,
fenton_richard,name,emotion,very sorry, ,
fenton_richard,name,emotion,pleasure,pleasure,
fenton_richard,name,event,spiritual" when-iso="1772-12-19,he had such a ,
fenton_richard,name,emotion,quite satisfied,quite satisfied,
fenton_richard,name,emotion,very near,very ,
fenton_richard,name,emotion,forgiven,forgiven,
fenton_richard,name,emotion,desired,desired,
fenton_richard,name,emotion,happy,happy,
fenton_richard,name,emotion,happy,happy,
fenton_richard,name,emotion,thanked,thanked,
fenton_richard,name,emotion,so happy,so happy,
peel_elizabeth,name,event,birth,born,
peel_elizabeth,name,event,marriage,married,
peel_elizabeth,name,emotion,much pleased,much pleased,
peel_elizabeth,name,event,reception" when-iso="1751-01-11,Blessing to her Heart,
peel_elizabeth,name,event,acceptance" when-iso="1751-08-13,Lords Supper,
peel_elizabeth,name,emotion,grace,Grace,
peel_elizabeth,name,emotion,much at heart,much at heart,
peel_elizabeth,name,emotion,dear,dear,
peel_elizabeth,name,emotion,loving,loving,
peel_elizabeth,name,emotion,cheerfulness,chearfulness,
peel_elizabeth,name,emotion,much pain,felt ,
peel_elizabeth,name,emotion,dear,dear,
peel_elizabeth,name,emotion,much pain,much pain,
peel_elizabeth,name,emotion,concerned,concern'd,
peel_elizabeth,name,event,communion,holy Comunion,
peel_elizabeth,name,emotion,beloved,beloved,
peel_elizabeth,name,emotion,blessing,Blessing,
liley_robert,name,event,birth" when-iso="1697-10,born,
liley_robert,name,occupation,#mlocc000013,Clothiers Bussiness,
liley_robert,name,event,marriage" when-iso="1723,he entered into the married State,
liley_robert,name,emotion,blessed with,Blessed with,
liley_robert,name,emotion,concerned for his happiness in time and eternity,concerned for his Happiness in time and Eternity,
liley_robert,name,emotion,first love and zeal,first Love and Zeal,
liley_robert,name,emotion,undone condition,undone Condition,
liley_robert,name,emotion,comfortable feelings of our Savior's grace,comfortable Feelings of our,
liley_robert,name,event,religious,Preaching,
liley_robert,name,emotion,particularly happy,particularly happy,
liley_robert,name,emotion,applying the word to his heart,applying the Word to his heart,
liley_robert,name,emotion,blessed him,blessed him,
liley_robert,name,event,reception" when-iso="1748-08-13,recieved,
liley_robert,name,emotion,never enjoyed it before,never enjoy'd it before,
liley_robert,name,emotion,express the feeling of my heart,express the feeling of my Heart,
liley_robert,name,emotion,awful impression ,Awefull Impression,
liley_robert,name,event,sacrament,holy Sacrament,
liley_robert,name,emotion,sense of his unworthiness,Sense of his unworthiness,
liley_robert,name,emotion,weeping,weeping,
liley_robert,name,event,communion,holy Comunion,
liley_robert,name,emotion,enjoy that greatest of blessings,enjoy that greatest of Blessings,
liley_robert,name,emotion,heartily wished,heartily wished,
peel_suzanna,name,event,reception,recived in to the Congregation,
peel_suzanna,name,event,sacrament,holy Sacrament,
peel_suzanna,name,event,sacrament,Sacrament,
hutchinson_hannah,name,event,communion,H Com,
hutchinson_hannah,name,event,communion,H. Com,
barker_joshua,name,occupation,apprentice,Apprentice,
barker_joshua,name,event,marriage,married,
barker_joshua,name,event,sacrament,Sacrament,
barker_joshua,name,event,reception,receiv'd,
barker_joshua,name,event,sacrament,holy Sacrament,
barker_joshua,name,office,bond_servant,Bond Servant,
barker_joshua,name,event,sacrament,Sacrament,
barker_joshua,name,event,sacrament,holy Sacrament,
barker_joshua,name,event,sacrament,Sacram,
barker_joshua,name,event,sacrament,holy Sacram,
clagget_elizabeth,name,emotion,blessed,blessed,
clagget_elizabeth,name,event,religious,meetings,
clagget_elizabeth,name,emotion,blessings,blessings,
clagget_elizabeth,name,emotion,enjoyed,enjoyed,
clagget_elizabeth,name,emotion,shyness,shyness,
clagget_elizabeth,name,emotion,humiliation,humiliation,
clagget_elizabeth,name,emotion,so loving,so loving,
clagget_elizabeth,name,emotion,gratitude love and thankfulness,gratitude, love &amp; thankfulness,
clagget_elizabeth,name,emotion,love,love,
clagget_elizabeth,name,emotion,desired,desired,
clagget_elizabeth,name,emotion,kiss,kiss,
clagget_elizabeth,name,emotion,serenity and happiness of her heart,Serenity &amp; happiness of her heart,
clagget_elizabeth,name,emotion,great pains,great pains,
clagget_elizabeth,name,emotion,pleasant,pleasant,
clagget_elizabeth,name,emotion,ardent wish,ardent wish,
clagget_elizabeth,name,emotion,happily,happily,
clagget_elizabeth,name,emotion,blessing,blessing,
clagget_elizabeth,name,emotion,grace,Grace,
