2021-05-21 15:53:12.272 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-21 15:53:12.333 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-21 16:00:46.295 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-21 16:00:46.347 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-21 17:32:18.088 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-21 17:32:18.143 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-21 17:33:42.812 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-21 17:33:42.865 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-21 17:47:14.834 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-21 17:47:14.896 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-21 17:48:18.810 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-21 17:48:18.859 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-21 17:50:28.562 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-21 17:50:28.623 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
